Anthem MDX Distribution Amplifier Serial Commands,,,,
Revision 11,,,,
Date: 25/10/2019,,,,
,,,,
Command,Description,Related Query Command,Asychronous Notification,
Global Commands,,,,
GMUTy,"Global Mute where y 
  0=unmute
  1=mute
  t=toggle",GMUT? returns GMUTy (y=0-1),YES,
DOSn,"Set the digital output source of the MDX-16 to n: 1=Digital 1, 2=Digital 2, 
3=Digital 3, 4=Digital 4",DOS? returns DOSn,YES,
,,,,
,,,,
Diagnostics Commands,,,,
UIDx,"Unit ID 
  0=off
  1=rear LED on
  2=rear LED flash
  3=rear and power LEDs flash",UID? returns UIDx,YES,
FAN?,Query fan speed.,returns FAN followed by the curent fan speed in RPM,,
SFSyyy,Set fan speed 0-100,,,
PSV?,Query power supply Voltage.,returns PSVpyy.ynyy.y - (p)ositive (n)egative voltages yy.y,,
PST?,Query power supply temperature.,returns PST followed by the temperature in Celcius,,
ZxTMP?,Get AMP Temperature for specified zone.,Returns ZxTMPyyy in Celcius,,
ZxSTAT?,Query Status,Returns ZxSTATyy with hexadecimal bitmask yy which is the bitwise OR of each error as specified in the 'Error Bits Definition' - table 3 below. Ex: 10 would be short detected.,,
ZxECNTy?,Query error count: y selects the count to query - see Table 4: 'Error Count definition'.,Returns ZxECNTyn where n is the error count.,,
CERC,Clear the error counts.,,,
,,,,
,,,,
Sample Command Strings,,,,
"Turn ON zone 3: Z3POW1;
Select digital 1 as the source for zone 5: Z5INP09;
Set volume on zone 2 to 52: Z2VOL52;
Increase volume on zone 7 by 1.5 dB: Z7VUP01.5;
Select analog 1 for zone 1, 3, 4 and 6: Z1INP01;Z3INP03;Z4INP01;Z6INP01;
Mute all zones: GMUT1;
Turn OFF all zones: Z0POW0;",,,,
,,,,
,,,,
Notes,,,,
1. Successful serial commands return ';' after the action is completed.,,,,
"2. When a recognized command cannot be executed ""!E<OriginalCommand>"" is returned. Ex: Analog 5 is selected on the 4-zone amp (which does not exist) by sending the command ""Z1INP5;"", then the system would return ""!EZ1INP5;"". ",,,,
"3. Out-of-range parameters return the message ""!E<OriginalCommand>"". Ex: 'Z1VOL101;' would result in a response: '!EZ1VOL101;'",,,,
"4. Invalid commands return the message ""!I<OriginalCommand>"". Ex 'HELLO;' would result in a response '!IHELLO;'",,,,
"5. Receiving a command for a zone when the zone is off (but the system is not in standby), returns the message ""!Z<OriginalMessage>"".",,,,
"6. Ony a few commands are valid when the system is in standby such as 'IDM?', 'ZxPOWy', 'ZxPOW?'. All other commands are considered 'Invalid'.",,,,
7. Maximum command length is 256 bytes including the terminator. Maximum response length is 258 bytes.,,,,
8. Average command processing latency is less than 30 ms.,,,,
9. Individual commands have a maximum processing latency of 100 ms.,,,,
10. Systems that communicate over RS232 should wait for at least 1 s for a response before retransmission,,,,
"11. Control system should behave as a ""good citizen"" and try to minimize the amount of redundant control commands. For example, in the case of a volume slider, not every intermediate/temporary volume settings need to be sent (Z1VOL52;Z1VOL54;Z1VOL56; is preferable and is equivalent to Z1VOL50;Z1VOL51;Z1VOL52;Z1VOL53;Z1VOL54;Z1VOL55;Z1VOL56;)",,,,
12. A websocket connection can be established using the following javascript snippet: var socket = new WebSocket('ws://' + ip + '/cmd');,,,,
13. Optionnally you can discover supported devices using the discovery protocol outline in the Discovery Protocol tab.,,,,
